epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2700.27,0.48969,0.45005,1.13247,0.9898,0.98649,0.99441,0.90044,0.47104,0.30951,0.97517,0.000662835,0.000662835,0.000662835
2,5198.97,0.52997,0.4372,1.15883,0.92862,0.96698,0.98147,0.85984,0.50192,0.41718,1.01545,0.00130318,0.00130318,0.00130318
3,7589.71,0.57453,0.48445,1.18809,0.96026,0.97954,0.99055,0.88789,0.49159,0.3532,1.00334,0.00191712,0.00191712,0.00191712
4,10006.2,0.5777,0.47953,1.19323,0.94813,0.97973,0.99142,0.87064,0.52115,0.3778,1.00711,0.0018812,0.0018812,0.0018812
5,12176.3,0.57237,0.48155,1.20381,0.92358,0.93243,0.97921,0.85568,0.60079,0.45981,1.10492,0.0018416,0.0018416,0.0018416
6,15043.1,0.56887,0.49061,1.19288,0.97976,0.9527,0.99121,0.87843,0.52038,0.39959,1.03677,0.001802,0.001802,0.001802
7,17231.6,0.57838,0.47547,1.19009,0.98628,0.97158,0.99249,0.86983,0.55836,0.40277,1.07783,0.0017624,0.0017624,0.0017624
8,19417.6,0.54397,0.45514,1.16288,0.97944,0.96573,0.9904,0.88676,0.5038,0.36773,1.00886,0.0017228,0.0017228,0.0017228
9,21801.5,0.54176,0.44616,1.16742,0.98766,0.95946,0.99309,0.88723,0.50293,0.3563,1.00583,0.0016832,0.0016832,0.0016832
10,24207.4,0.54528,0.45466,1.16947,0.9795,0.97973,0.99259,0.88994,0.47842,0.32719,0.96569,0.0016436,0.0016436,0.0016436
11,26390.3,0.52888,0.4536,1.1568,0.97311,0.9781,0.99145,0.87826,0.48632,0.33515,1.00572,0.001604,0.001604,0.001604
12,28848.4,0.51666,0.43703,1.14951,0.97222,0.98649,0.99359,0.88456,0.48548,0.38293,1.0303,0.0015644,0.0015644,0.0015644
13,31149.3,0.51885,0.43348,1.14852,0.97956,0.97155,0.98943,0.89848,0.47416,0.31036,1.00612,0.0015248,0.0015248,0.0015248
14,33292.4,0.50841,0.42236,1.15003,0.97958,0.97249,0.9936,0.90201,0.43265,0.308,0.92689,0.0014852,0.0014852,0.0014852
15,35969.5,0.51208,0.42062,1.14723,0.99293,0.94831,0.99171,0.89757,0.48444,0.3129,0.98836,0.0014456,0.0014456,0.0014456
16,38137.9,0.49616,0.40961,1.13534,0.96004,0.97406,0.9923,0.87315,0.49508,0.32496,0.9867,0.001406,0.001406,0.001406
17,40364.8,0.50418,0.40807,1.1346,0.97256,0.98649,0.99389,0.90547,0.46714,0.30945,0.97322,0.0013664,0.0013664,0.0013664
18,42710.3,0.48381,0.39674,1.12218,0.96636,0.97057,0.99284,0.90341,0.48394,0.33819,0.98223,0.0013268,0.0013268,0.0013268
19,45285.5,0.48697,0.39315,1.12895,0.9853,0.97973,0.99365,0.90262,0.43791,0.30584,0.93701,0.0012872,0.0012872,0.0012872
20,47643.8,0.48382,0.40067,1.12275,0.97932,0.95998,0.99202,0.88978,0.43647,0.31134,0.94757,0.0012476,0.0012476,0.0012476
21,50804.4,0.4791,0.39877,1.12663,0.99309,0.97096,0.99427,0.91799,0.44616,0.2828,0.94687,0.001208,0.001208,0.001208
22,53376.5,0.4753,0.39122,1.11802,0.97825,0.97297,0.9915,0.91275,0.41126,0.27808,0.89883,0.0011684,0.0011684,0.0011684
23,56409,0.47085,0.37943,1.11747,0.98638,0.9788,0.99402,0.90596,0.41782,0.28141,0.90616,0.0011288,0.0011288,0.0011288
24,58751.8,0.45841,0.37307,1.11049,0.98637,0.9776,0.9938,0.91222,0.41257,0.27524,0.90361,0.0010892,0.0010892,0.0010892
25,61108.6,0.45412,0.37725,1.1093,0.9722,0.99324,0.99406,0.91264,0.41392,0.27555,0.88845,0.0010496,0.0010496,0.0010496
26,63484.2,0.44779,0.37263,1.10173,0.99305,0.96552,0.98961,0.90303,0.43364,0.30107,0.92088,0.00101,0.00101,0.00101
27,66010.2,0.45145,0.36184,1.09991,0.98557,0.97973,0.99394,0.91128,0.41388,0.25561,0.89861,0.0009704,0.0009704,0.0009704
28,68635.6,0.44689,0.36357,1.09954,0.98274,0.98649,0.99368,0.90124,0.44015,0.27356,0.93569,0.0009308,0.0009308,0.0009308
29,75990,0.45155,0.3664,1.10824,0.98623,0.97297,0.99395,0.91857,0.42154,0.26485,0.89827,0.0008912,0.0008912,0.0008912
30,77234,0.4307,0.34659,1.08484,0.98436,0.96622,0.99346,0.91162,0.39701,0.25573,0.88514,0.0008516,0.0008516,0.0008516
31,78419.7,0.41838,0.34779,1.07799,0.98494,0.97297,0.9937,0.91825,0.37866,0.25751,0.86706,0.000812,0.000812,0.000812
32,79572.6,0.42107,0.33915,1.08413,0.97671,0.98649,0.99395,0.91225,0.40848,0.27333,0.88806,0.0007724,0.0007724,0.0007724
33,80842.6,0.42117,0.33775,1.08488,0.98976,0.97297,0.99393,0.92513,0.40479,0.26791,0.88488,0.0007328,0.0007328,0.0007328
34,82082.1,0.41453,0.32982,1.07541,0.97245,0.98649,0.99326,0.92979,0.38046,0.24136,0.86045,0.0006932,0.0006932,0.0006932
35,83533.5,0.41855,0.33767,1.07827,0.99032,0.98649,0.99408,0.91475,0.38643,0.24485,0.86529,0.0006536,0.0006536,0.0006536
36,84701.5,0.41053,0.32712,1.07439,0.99194,0.97973,0.99374,0.92745,0.38076,0.2432,0.86346,0.000614,0.000614,0.000614
37,85845,0.40447,0.32796,1.06966,0.9903,0.98649,0.99384,0.92267,0.38487,0.23718,0.8604,0.0005744,0.0005744,0.0005744
38,87051.6,0.39672,0.32323,1.06093,0.97255,0.97973,0.99294,0.93163,0.39,0.24144,0.84745,0.0005348,0.0005348,0.0005348
39,90127.7,0.39789,0.31823,1.06446,0.97219,0.99324,0.9942,0.92845,0.37906,0.24566,0.86309,0.0004952,0.0004952,0.0004952
40,94422.8,0.39289,0.30669,1.06102,0.97171,0.98649,0.99358,0.92158,0.37043,0.25299,0.85598,0.0004556,0.0004556,0.0004556
41,97406.9,0.31107,0.25422,1.04858,0.97746,0.97973,0.99344,0.92469,0.38327,0.24361,0.84633,0.000416,0.000416,0.000416
42,100581,0.29345,0.22506,1.03478,0.97277,0.97973,0.99195,0.91086,0.37719,0.24742,0.85519,0.0003764,0.0003764,0.0003764
43,103564,0.28699,0.21624,1.02162,0.98198,0.98649,0.9935,0.91888,0.39329,0.23633,0.85937,0.0003368,0.0003368,0.0003368
44,106702,0.27174,0.20651,1.01101,0.97752,0.98649,0.99315,0.92684,0.36982,0.23604,0.85951,0.0002972,0.0002972,0.0002972
45,110459,0.27175,0.20574,1.01088,0.97173,0.98649,0.99352,0.92459,0.35642,0.22884,0.83495,0.0002576,0.0002576,0.0002576
46,113633,0.26912,0.19981,1.0063,0.98635,0.97674,0.99382,0.92704,0.36736,0.22584,0.85167,0.000218,0.000218,0.000218
47,118298,0.26741,0.19698,1.00337,0.98502,0.97973,0.99371,0.92549,0.37125,0.21835,0.86391,0.0001784,0.0001784,0.0001784
48,119433,0.25413,0.18824,0.9976,0.96682,0.98443,0.99374,0.92361,0.37015,0.22675,0.84298,0.0001388,0.0001388,0.0001388
49,120619,0.25904,0.18944,0.99612,0.97959,0.97284,0.99354,0.92142,0.36486,0.21753,0.84618,9.92e-05,9.92e-05,9.92e-05
50,121764,0.25052,0.18107,0.99137,0.97533,0.97297,0.99348,0.9213,0.36243,0.22144,0.83954,5.96e-05,5.96e-05,5.96e-05
