epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1249.08,0.35785,0.28908,1.03201,0.97966,0.97655,0.99327,0.91009,0.42622,0.26916,0.91035,0.000662835,0.000662835,0.000662835
2,2510.99,0.43703,0.35089,1.09199,0.97329,0.98499,0.99095,0.90028,0.41644,0.2831,0.90212,0.00131634,0.00131634,0.00131634
3,3786.21,0.47479,0.38534,1.11106,0.98133,0.98649,0.99381,0.91196,0.41895,0.28722,0.91013,0.00195664,0.00195664,0.00195664
4,5035.37,0.48331,0.38817,1.11978,0.98096,0.97973,0.99309,0.88337,0.47915,0.31267,0.97549,0.0019406,0.0019406,0.0019406
5,6297.09,0.48627,0.40242,1.1302,0.99304,0.96622,0.99272,0.89278,0.48987,0.30437,0.99093,0.0019208,0.0019208,0.0019208
6,7571.53,0.47874,0.40564,1.12306,0.95443,0.99053,0.99355,0.90104,0.45934,0.31726,0.95633,0.001901,0.001901,0.001901
7,8806.58,0.48691,0.39633,1.11958,0.97292,0.97085,0.99096,0.90139,0.47982,0.33679,0.97706,0.0018812,0.0018812,0.0018812
8,10052.5,0.46971,0.39027,1.10753,0.97879,0.93533,0.98569,0.88546,0.47347,0.35527,0.98512,0.0018614,0.0018614,0.0018614
9,11300,0.48634,0.39428,1.12214,0.98546,0.97973,0.9933,0.88807,0.48429,0.30923,0.9898,0.0018416,0.0018416,0.0018416
10,12540.6,0.47342,0.39343,1.11477,0.96016,0.97713,0.99017,0.89947,0.46077,0.33706,0.95058,0.0018218,0.0018218,0.0018218
11,13792.6,0.47111,0.38535,1.11362,0.97055,0.97973,0.99029,0.90089,0.45117,0.33013,0.93045,0.001802,0.001802,0.001802
12,15048,0.47762,0.38834,1.11701,0.97847,0.97973,0.99215,0.89244,0.46215,0.32894,0.97226,0.0017822,0.0017822,0.0017822
13,16287.5,0.46093,0.37142,1.10219,0.97974,0.98037,0.99401,0.89837,0.48944,0.30692,0.99964,0.0017624,0.0017624,0.0017624
14,17537.8,0.46064,0.37533,1.10832,0.97225,0.98649,0.99362,0.89813,0.44587,0.33675,0.9563,0.0017426,0.0017426,0.0017426
15,18776.7,0.4624,0.37651,1.10589,0.96698,0.98945,0.994,0.92749,0.39472,0.27358,0.88743,0.0017228,0.0017228,0.0017228
