epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.2164,0.02331,0.86842,1,0.5065,0.000544553,0.000544553,0.000544553
2,69.942,0.01531,0.85965,1,0.79847,0.0010857,0.0010857,0.0010857
3,104,0.1044,0.88596,1,0.55824,0.00161217,0.00161217,0.00161217
4,133.541,0.11726,0.91228,1,0.52832,0.00160099,0.00160099,0.00160099
5,164.123,0.19433,0.86842,1,0.48821,0.00157898,0.00157898,0.00157898
6,192.556,0.19312,0.85965,1,0.72,0.00155698,0.00155698,0.00155698
7,221.779,0.19474,0.87719,1,0.74535,0.00153497,0.00153497,0.00153497
8,251.7,0.19124,0.89474,1,0.42051,0.00151297,0.00151297,0.00151297
9,281.121,0.11333,0.84211,1,0.60271,0.00149096,0.00149096,0.00149096
10,310.841,0.11665,0.84211,1,0.55681,0.00146896,0.00146896,0.00146896
11,341.162,0.11136,0.87719,1,0.53965,0.00144696,0.00144696,0.00144696
12,377.025,0.09535,0.83333,1,0.81266,0.00142495,0.00142495,0.00142495
13,406.816,0.0537,0.86842,1,0.55239,0.00140295,0.00140295,0.00140295
14,437.004,0.09527,0.85088,1,0.7149,0.00138094,0.00138094,0.00138094
15,466.382,0.06441,0.88596,1,0.47934,0.00135894,0.00135894,0.00135894
16,572.606,0.07697,0.85088,1,0.56172,0.00133693,0.00133693,0.00133693
17,601.28,0.07621,0.80702,1,0.81575,0.00131493,0.00131493,0.00131493
18,631.067,0.06433,0.84211,1,1.04988,0.00129293,0.00129293,0.00129293
19,663.564,0.06952,0.88596,1,0.56295,0.00127092,0.00127092,0.00127092
20,693.953,0.08341,0.84211,1,0.77523,0.00124892,0.00124892,0.00124892
21,722.932,0.09911,0.88596,1,0.47693,0.00122691,0.00122691,0.00122691
22,751.958,0.06625,0.90351,1,0.43249,0.00120491,0.00120491,0.00120491
23,781.314,0.07426,0.86842,1,0.72012,0.0011829,0.0011829,0.0011829
24,809.328,0.07042,0.90351,1,0.4393,0.0011609,0.0011609,0.0011609
25,837.288,0.07818,0.81579,1,0.7267,0.00113889,0.00113889,0.00113889
26,865.114,0.0551,0.86842,1,0.56404,0.00111689,0.00111689,0.00111689
27,892.766,0.08084,0.85965,1,0.69355,0.00109489,0.00109489,0.00109489
28,921.711,0.06429,0.85965,1,0.58674,0.00107288,0.00107288,0.00107288
29,950.874,0.06988,0.85965,1,0.76849,0.00105088,0.00105088,0.00105088
30,979.733,0.06211,0.86842,1,0.74483,0.00102887,0.00102887,0.00102887
31,1011.63,0.06651,0.90351,1,0.81273,0.00100687,0.00100687,0.00100687
32,1045.75,0.05029,0.87719,1,0.63324,0.000984864,0.000984864,0.000984864
33,1076.7,0.06412,0.88596,1,0.63502,0.000962859,0.000962859,0.000962859
34,1107.42,0.06646,0.92982,1,0.27083,0.000940855,0.000940855,0.000940855
