epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1254.51,0.73751,0.7465,1.32818,0.9786,0.95946,0.99032,0.83092,0.56922,0.39613,1.09242,0.000662835,0.000662835,0.000662835
2,2413.99,0.7086,0.618,1.29777,0.96598,0.95921,0.98916,0.82423,0.63021,0.53503,1.14715,0.00127685,0.00127685,0.00127685
3,3581.23,0.73255,0.63909,1.30831,0.96018,0.97745,0.99054,0.83542,0.62994,0.46829,1.19013,0.00183807,0.00183807,0.00183807
4,4756.53,0.71897,0.62101,1.3023,0.79087,0.91988,0.92317,0.69591,0.82509,0.78997,1.32188,0.0017624,0.0017624,0.0017624
5,5936.58,0.69265,0.60082,1.29468,0.94472,0.92385,0.96523,0.80863,0.62279,0.55524,1.16861,0.0016832,0.0016832,0.0016832
6,7244.09,0.65928,0.58959,1.26793,0.96597,0.95895,0.98386,0.81207,0.62514,0.49563,1.12717,0.001604,0.001604,0.001604
7,8543.07,0.6568,0.55491,1.2529,0.94664,0.9527,0.98661,0.79853,0.64871,0.56203,1.20835,0.0015248,0.0015248,0.0015248
8,9802.43,0.61244,0.52756,1.21911,0.98517,0.97973,0.99301,0.87716,0.54905,0.39305,1.06846,0.0014456,0.0014456,0.0014456
9,10977.4,0.6008,0.51197,1.21561,0.9797,0.97847,0.99018,0.87405,0.51065,0.42868,1.01467,0.0013664,0.0013664,0.0013664
10,12145.3,0.58465,0.49509,1.20325,0.97928,0.95826,0.99111,0.87344,0.50869,0.35331,1.01516,0.0012872,0.0012872,0.0012872
11,13309.9,0.56935,0.49346,1.18923,0.95979,0.96768,0.99063,0.87963,0.49938,0.37521,1.00057,0.001208,0.001208,0.001208
12,14483.8,0.55668,0.47043,1.185,0.98376,0.97297,0.993,0.89224,0.47504,0.33632,0.97986,0.0011288,0.0011288,0.0011288
13,15668,0.54779,0.46623,1.17285,0.98085,0.97973,0.99162,0.90622,0.45848,0.30255,0.95996,0.0010496,0.0010496,0.0010496
14,16827.9,0.53044,0.44345,1.16927,0.99877,0.94595,0.99293,0.90954,0.45432,0.31861,0.96064,0.0009704,0.0009704,0.0009704
15,18000.8,0.529,0.44025,1.16376,0.98284,0.98649,0.99398,0.906,0.47657,0.31642,0.98091,0.0008912,0.0008912,0.0008912
16,19190.5,0.41647,0.36007,1.15438,0.98139,0.97973,0.99365,0.89936,0.46896,0.31058,0.98836,0.000812,0.000812,0.000812
17,21494.9,0.3884,0.31358,1.13149,0.96414,0.9527,0.98674,0.86262,0.4948,0.33752,1.00307,0.0007328,0.0007328,0.0007328
18,23938.7,0.37566,0.29946,1.1224,0.98585,0.98649,0.99404,0.90968,0.437,0.31329,0.93256,0.0006536,0.0006536,0.0006536
19,26241.9,0.3619,0.27852,1.10821,0.97989,0.98771,0.99364,0.91557,0.40255,0.27407,0.90436,0.0005744,0.0005744,0.0005744
20,28732,0.34612,0.2728,1.08959,0.98656,0.99163,0.99439,0.91088,0.39441,0.2734,0.88452,0.0004952,0.0004952,0.0004952
21,31243.3,0.3367,0.26055,1.07758,0.97973,0.97995,0.99433,0.91051,0.41916,0.27812,0.92517,0.000416,0.000416,0.000416
22,33800.6,0.32994,0.25547,1.06763,0.99308,0.96936,0.99415,0.91919,0.40608,0.26543,0.90125,0.0003368,0.0003368,0.0003368
23,35538.5,0.31583,0.24261,1.05168,0.98508,0.97297,0.99387,0.92003,0.39989,0.248,0.90567,0.0002576,0.0002576,0.0002576
24,36847.8,0.30069,0.22776,1.03955,0.98639,0.97933,0.99392,0.92454,0.39343,0.24419,0.88584,0.0001784,0.0001784,0.0001784
25,38154.6,0.29302,0.22168,1.03599,0.96701,0.99019,0.99372,0.92302,0.38671,0.24037,0.87903,9.92e-05,9.92e-05,9.92e-05
