epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.1908,0.08103,0.90351,1,0.45614,0.000544553,0.000544553,0.000544553
2,62.0304,0.05459,0.91228,1,0.48305,0.00107844,0.00107844,0.00107844
3,97.644,0.11083,0.83333,1,0.92933,0.00159031,0.00159031,0.00159031
4,126.823,0.19312,0.85965,1,0.73896,0.00156798,0.00156798,0.00156798
5,154.887,0.21958,0.85965,1,0.46435,0.00153497,0.00153497,0.00153497
6,183.186,0.18211,0.87719,1,0.5717,0.00150197,0.00150197,0.00150197
7,211.835,0.14204,0.90351,1,0.33423,0.00146896,0.00146896,0.00146896
8,241.766,0.22961,0.86842,1,0.57844,0.00143595,0.00143595,0.00143595
9,270.15,0.15992,0.86842,1,0.42856,0.00140295,0.00140295,0.00140295
10,300.09,0.1427,0.82456,1,0.62586,0.00136994,0.00136994,0.00136994
11,330.881,0.11977,0.91228,1,0.38527,0.00133693,0.00133693,0.00133693
12,359.451,0.12742,0.88596,1,0.51483,0.00130393,0.00130393,0.00130393
13,390.887,0.12856,0.88596,1,0.40064,0.00127092,0.00127092,0.00127092
14,420.247,0.09369,0.87719,1,0.46274,0.00123791,0.00123791,0.00123791
15,448.615,0.09195,0.86842,1,0.35066,0.00120491,0.00120491,0.00120491
16,477.397,0.10061,0.89474,1,0.37204,0.0011719,0.0011719,0.0011719
17,505.418,0.13063,0.86842,1,0.56431,0.00113889,0.00113889,0.00113889
18,532.044,0.15388,0.85965,1,0.46419,0.00110589,0.00110589,0.00110589
19,558.983,0.13845,0.89474,1,0.39659,0.00107288,0.00107288,0.00107288
20,585.574,0.14361,0.88596,1,0.31801,0.00103987,0.00103987,0.00103987
21,612.419,0.10393,0.89474,1,0.20366,0.00100687,0.00100687,0.00100687
22,639.056,0.10357,0.91228,1,0.28312,0.000973861,0.000973861,0.000973861
23,667.636,0.10641,0.89474,1,0.43805,0.000940855,0.000940855,0.000940855
24,696.637,0.10864,0.90351,1,0.31257,0.000907848,0.000907848,0.000907848
25,726.071,0.10708,0.90351,1,0.378,0.000874842,0.000874842,0.000874842
26,754.255,0.10955,0.87719,1,0.45427,0.000841835,0.000841835,0.000841835
27,781.492,0.07493,0.89474,1,0.40035,0.000808828,0.000808828,0.000808828
28,813.645,0.07868,0.88596,1,0.36844,0.000775822,0.000775822,0.000775822
29,842.972,0.07542,0.85965,1,0.53433,0.000742815,0.000742815,0.000742815
30,872.061,0.06542,0.85088,1,0.522,0.000709809,0.000709809,0.000709809
31,900.671,0.08251,0.89474,1,0.54428,0.000676802,0.000676802,0.000676802
32,943.75,0.05815,0.87719,1,0.52109,0.000643795,0.000643795,0.000643795
33,973.885,0.06517,0.89474,1,0.33483,0.000610789,0.000610789,0.000610789
34,1002.73,0.08277,0.89474,1,0.30865,0.000577782,0.000577782,0.000577782
35,1034.56,0.04892,0.89474,1,0.52056,0.000544776,0.000544776,0.000544776
36,1062.54,0.06575,0.90351,1,0.37504,0.000511769,0.000511769,0.000511769
37,1092.02,0.04044,0.88596,1,0.42666,0.000478762,0.000478762,0.000478762
38,1121.96,0.04936,0.88596,1,0.40391,0.000445756,0.000445756,0.000445756
39,1150.71,0.04204,0.89474,1,0.45698,0.000412749,0.000412749,0.000412749
40,1179.78,0.03989,0.90351,1,0.3557,0.000379743,0.000379743,0.000379743
41,1208.58,0.04857,0.89474,1,0.39585,0.000346736,0.000346736,0.000346736
42,1238.74,0.05649,0.91228,1,0.41005,0.000313729,0.000313729,0.000313729
43,1267.16,0.04572,0.91228,1,0.43413,0.000280723,0.000280723,0.000280723
44,1294.88,0.03184,0.90351,1,0.43354,0.000247716,0.000247716,0.000247716
45,1322.8,0.04312,0.91228,1,0.44247,0.00021471,0.00021471,0.00021471
46,1351.14,0.03532,0.90351,1,0.40629,0.000181703,0.000181703,0.000181703
47,1379.86,0.04809,0.91228,1,0.46572,0.000148696,0.000148696,0.000148696
48,1408.44,0.04079,0.91228,1,0.3885,0.00011569,0.00011569,0.00011569
49,1436.76,0.04856,0.91228,1,0.41608,8.26832e-05,8.26832e-05,8.26832e-05
50,1472.22,0.03006,0.90351,1,0.42955,4.96766e-05,4.96766e-05,4.96766e-05
