epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1158.3,0.72976,1.78593,1.4826,0.8897,0.85811,0.94058,0.70366,0.84687,1.52965,1.47357,0.000662835,0.000662835,0.000662835
2,2346.12,0.76786,1.03456,1.52514,0.64419,0.65541,0.69682,0.26203,1.89809,2.20309,2.58986,0.00119788,0.00119788,0.00119788
3,3532.17,0.75994,0.76361,1.51444,0.91731,0.8245,0.90472,0.71223,0.88049,0.97023,1.50665,0.00160093,0.00160093,0.00160093
4,4703.94,0.69903,0.64267,1.4518,0.88678,0.89189,0.94285,0.72014,0.824,0.83704,1.42028,0.001406,0.001406,0.001406
5,5886.68,0.63872,0.55811,1.3849,0.9335,0.94854,0.97841,0.75894,0.88249,0.63401,1.42355,0.001208,0.001208,0.001208
6,7189.58,0.5681,0.50359,1.31391,0.94416,0.97973,0.99036,0.84705,0.59163,0.45517,1.08302,0.00101,0.00101,0.00101
7,8512.84,0.51062,0.44913,1.25365,0.9403,0.89865,0.96433,0.79139,0.71121,0.54971,1.23646,0.000812,0.000812,0.000812
8,9788.38,0.46511,0.41257,1.20038,0.9804,0.97297,0.99331,0.88485,0.51274,0.37164,1.02808,0.000614,0.000614,0.000614
9,11098.9,0.42922,0.36997,1.16763,0.99335,0.97297,0.99434,0.87038,0.5007,0.35363,1.00041,0.000416,0.000416,0.000416
10,12411,0.38743,0.32629,1.12878,0.97962,0.97437,0.99205,0.90096,0.44922,0.32995,0.95111,0.000218,0.000218,0.000218
