epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.44363,0.13386,0.86667,1,0.36792,0.00021671,0.00021671,0.00021671
2,6.40786,0.10984,0.85,1,0.45901,0.000445634,0.000445634,0.000445634
3,9.19505,0.21783,0.85,1,0.54241,0.000669937,0.000669937,0.000669937
4,12.0561,0.17675,0.85,1,0.33594,0.00088962,0.00088962,0.00088962
5,15.0419,0.2393,0.86667,1,0.27476,0.00110468,0.00110468,0.00110468
6,17.8324,0.17414,0.8,1,0.56339,0.00131512,0.00131512,0.00131512
7,20.6384,0.29573,0.86667,1,0.32379,0.00152094,0.00152094,0.00152094
8,23.421,0.21708,0.88333,1,0.313,0.00155148,0.00155148,0.00155148
9,26.3231,0.28648,0.88333,1,0.40228,0.00153497,0.00153497,0.00153497
10,29.3097,0.24381,0.86667,1,0.41637,0.00151847,0.00151847,0.00151847
11,32.1792,0.22376,0.86667,1,0.46024,0.00150197,0.00150197,0.00150197
12,35.5493,0.18812,0.85,1,0.61044,0.00148546,0.00148546,0.00148546
13,38.4396,0.4088,0.86667,1,0.55633,0.00146896,0.00146896,0.00146896
14,41.3679,0.35735,0.8,1,0.52461,0.00145246,0.00145246,0.00145246
15,44.1109,0.48032,0.81667,1,0.32626,0.00143595,0.00143595,0.00143595
16,46.9463,0.26687,0.86667,1,0.2884,0.00141945,0.00141945,0.00141945
17,49.7028,0.20313,0.83333,1,0.37961,0.00140295,0.00140295,0.00140295
18,52.5147,0.14258,0.83333,1,0.55008,0.00138644,0.00138644,0.00138644
19,55.3308,0.24696,0.85,1,0.51933,0.00136994,0.00136994,0.00136994
20,58.1165,0.24536,0.85,1,0.36858,0.00135344,0.00135344,0.00135344
21,60.9201,0.20821,0.83333,1,0.3386,0.00133693,0.00133693,0.00133693
22,63.6575,0.19728,0.85,1,0.34664,0.00132043,0.00132043,0.00132043
23,66.6083,0.20476,0.85,1,0.32196,0.00130393,0.00130393,0.00130393
24,69.4294,0.1368,0.85,1,0.35275,0.00128742,0.00128742,0.00128742
25,72.3226,0.16439,0.83333,1,0.33253,0.00127092,0.00127092,0.00127092
26,75.1243,0.14452,0.85,1,0.28148,0.00125442,0.00125442,0.00125442
27,77.9927,0.15254,0.86667,1,0.26391,0.00123791,0.00123791,0.00123791
28,81.1073,0.15603,0.9,1,0.38151,0.00122141,0.00122141,0.00122141
29,83.9708,0.09641,0.9,1,0.34747,0.00120491,0.00120491,0.00120491
30,86.812,0.12164,0.86667,1,0.36391,0.0011884,0.0011884,0.0011884
31,89.7436,0.15185,0.88333,1,0.28514,0.0011719,0.0011719,0.0011719
32,92.8735,0.13232,0.83333,1,0.31598,0.0011554,0.0011554,0.0011554
33,95.9901,0.0878,0.85,1,0.38213,0.00113889,0.00113889,0.00113889
34,99.245,0.11894,0.85,1,0.50045,0.00112239,0.00112239,0.00112239
35,102.474,0.15706,0.83333,1,0.45579,0.00110589,0.00110589,0.00110589
36,105.697,0.1382,0.86667,1,0.37629,0.00108938,0.00108938,0.00108938
37,108.724,0.08755,0.85,1,0.32564,0.00107288,0.00107288,0.00107288
38,111.691,0.1488,0.86667,1,0.357,0.00105638,0.00105638,0.00105638
39,114.55,0.05156,0.86667,1,0.42861,0.00103987,0.00103987,0.00103987
40,117.668,0.05566,0.85,1,0.50923,0.00102337,0.00102337,0.00102337
41,120.748,0.16453,0.85,1,0.45644,0.00100687,0.00100687,0.00100687
