epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.3822,0.02331,0.86842,1,0.5065,0.000544553,0.000544553,0.000544553
2,56.9645,0.01531,0.85965,1,0.79847,0.0010857,0.0010857,0.0010857
3,85.8119,0.1044,0.88596,1,0.55824,0.00161217,0.00161217,0.00161217
4,114.947,0.11726,0.91228,1,0.52832,0.00160099,0.00160099,0.00160099
5,143.881,0.19433,0.86842,1,0.48821,0.00157898,0.00157898,0.00157898
6,173.179,0.19312,0.85965,1,0.72,0.00155698,0.00155698,0.00155698
7,203.254,0.19474,0.87719,1,0.74535,0.00153497,0.00153497,0.00153497
8,237.93,0.19124,0.89474,1,0.42051,0.00151297,0.00151297,0.00151297
9,267.306,0.11333,0.84211,1,0.60271,0.00149096,0.00149096,0.00149096
10,297.066,0.11665,0.84211,1,0.55681,0.00146896,0.00146896,0.00146896
11,326.102,0.11136,0.87719,1,0.53965,0.00144696,0.00144696,0.00144696
12,354.713,0.09535,0.83333,1,0.81266,0.00142495,0.00142495,0.00142495
13,383.743,0.0537,0.86842,1,0.55239,0.00140295,0.00140295,0.00140295
14,415.629,0.09527,0.85088,1,0.7149,0.00138094,0.00138094,0.00138094
15,448.274,0.06441,0.88596,1,0.47934,0.00135894,0.00135894,0.00135894
16,481.217,0.07697,0.85088,1,0.56172,0.00133693,0.00133693,0.00133693
17,510.544,0.07621,0.80702,1,0.81575,0.00131493,0.00131493,0.00131493
18,538.698,0.06433,0.84211,1,1.04988,0.00129293,0.00129293,0.00129293
19,567.921,0.06952,0.88596,1,0.56295,0.00127092,0.00127092,0.00127092
20,604.408,0.08341,0.84211,1,0.77523,0.00124892,0.00124892,0.00124892
21,635.22,0.09911,0.88596,1,0.47693,0.00122691,0.00122691,0.00122691
22,664.631,0.06625,0.90351,1,0.43249,0.00120491,0.00120491,0.00120491
23,694.873,0.07426,0.86842,1,0.72012,0.0011829,0.0011829,0.0011829
24,723.254,0.07042,0.90351,1,0.4393,0.0011609,0.0011609,0.0011609
25,750.853,0.07818,0.81579,1,0.7267,0.00113889,0.00113889,0.00113889
26,778.783,0.0551,0.86842,1,0.56404,0.00111689,0.00111689,0.00111689
27,806.043,0.08084,0.85965,1,0.69355,0.00109489,0.00109489,0.00109489
28,833.063,0.06429,0.85965,1,0.58674,0.00107288,0.00107288,0.00107288
29,859.988,0.06988,0.85965,1,0.76849,0.00105088,0.00105088,0.00105088
30,886.124,0.06211,0.86842,1,0.74483,0.00102887,0.00102887,0.00102887
31,913.787,0.06651,0.90351,1,0.81273,0.00100687,0.00100687,0.00100687
32,941.192,0.05029,0.87719,1,0.63324,0.000984864,0.000984864,0.000984864
33,968.793,0.06412,0.88596,1,0.63502,0.000962859,0.000962859,0.000962859
34,998.785,0.06646,0.92982,1,0.27083,0.000940855,0.000940855,0.000940855
35,1027.57,0.06329,0.87719,1,0.48748,0.00091885,0.00091885,0.00091885
36,1054.85,0.04902,0.89474,1,0.40602,0.000896846,0.000896846,0.000896846
37,1081.94,0.03026,0.88596,1,0.44627,0.000874842,0.000874842,0.000874842
38,1108.95,0.05317,0.90351,1,0.37927,0.000852837,0.000852837,0.000852837
39,1135.69,0.04872,0.87719,1,0.38816,0.000830833,0.000830833,0.000830833
40,1162.56,0.03685,0.86842,1,0.44578,0.000808828,0.000808828,0.000808828
41,1189.75,0.0825,0.85088,1,0.41339,0.000786824,0.000786824,0.000786824
42,1217.06,0.05387,0.86842,1,0.51952,0.00076482,0.00076482,0.00076482
43,1244.25,0.08383,0.85965,1,0.51724,0.000742815,0.000742815,0.000742815
44,1271.24,0.05597,0.87719,1,0.52616,0.000720811,0.000720811,0.000720811
45,1298.29,0.05802,0.88596,1,0.529,0.000698806,0.000698806,0.000698806
46,1325.5,0.06869,0.85965,1,0.46223,0.000676802,0.000676802,0.000676802
47,1352.26,0.05333,0.89474,1,0.46806,0.000654798,0.000654798,0.000654798
48,1379.31,0.03208,0.88596,1,0.4802,0.000632793,0.000632793,0.000632793
49,1406.53,0.03164,0.87719,1,0.48936,0.000610789,0.000610789,0.000610789
50,1435.94,0.031,0.88596,1,0.43994,0.000588784,0.000588784,0.000588784
51,1463.19,0.04255,0.90351,1,0.40631,0.00056678,0.00056678,0.00056678
52,1490.14,0.04339,0.86842,1,0.48938,0.000544776,0.000544776,0.000544776
53,1517.19,0.03679,0.85965,1,0.45135,0.000522771,0.000522771,0.000522771
54,1544.28,0.02679,0.85965,1,0.43996,0.000500767,0.000500767,0.000500767
55,1571.32,0.03977,0.86842,1,0.59435,0.000478762,0.000478762,0.000478762
56,1599.78,0.03935,0.86842,1,0.49696,0.000456758,0.000456758,0.000456758
57,1626.66,0.03088,0.88596,1,0.49929,0.000434754,0.000434754,0.000434754
58,1653.9,0.03189,0.86842,1,0.49974,0.000412749,0.000412749,0.000412749
59,1681.28,0.03078,0.89474,1,0.47066,0.000390745,0.000390745,0.000390745
60,1708.2,0.03273,0.88596,1,0.57022,0.00036874,0.00036874,0.00036874
