epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.1794,0.11475,0.87719,1,0.62605,0.000544553,0.000544553,0.000544553
2,54.0858,0.04737,0.87719,1,0.71011,0.00108933,0.00108933,0.00108933
3,80.8848,0.0348,0.85965,1,0.84309,0.0016231,0.0016231,0.0016231
4,108.015,0.12729,0.89474,1,0.39109,0.00161749,0.00161749,0.00161749
5,134.918,0.15791,0.87719,1,0.51009,0.00160099,0.00160099,0.00160099
6,163.098,0.20651,0.87719,1,0.55464,0.00158448,0.00158448,0.00158448
7,191.33,0.22443,0.84211,1,0.56616,0.00156798,0.00156798,0.00156798
8,219.128,0.15828,0.88596,1,0.52107,0.00155148,0.00155148,0.00155148
9,246.141,0.12332,0.85088,1,0.4678,0.00153497,0.00153497,0.00153497
10,273.823,0.1042,0.82456,1,0.69103,0.00151847,0.00151847,0.00151847
11,302.434,0.08485,0.84211,1,0.71863,0.00150197,0.00150197,0.00150197
12,330.393,0.08681,0.83333,1,0.80092,0.00148546,0.00148546,0.00148546
13,360.094,0.0565,0.85088,1,0.56595,0.00146896,0.00146896,0.00146896
14,388.66,0.06027,0.84211,1,0.56283,0.00145246,0.00145246,0.00145246
15,417.929,0.04697,0.83333,1,0.74146,0.00143595,0.00143595,0.00143595
16,447.135,0.08026,0.86842,1,0.44219,0.00141945,0.00141945,0.00141945
17,474.791,0.06281,0.85965,1,0.52248,0.00140295,0.00140295,0.00140295
18,502.38,0.05598,0.87719,1,0.77872,0.00138644,0.00138644,0.00138644
19,529.83,0.08695,0.90351,1,0.6588,0.00136994,0.00136994,0.00136994
20,557.397,0.06074,0.80702,1,1.12366,0.00135344,0.00135344,0.00135344
21,584.786,0.10092,0.85088,1,0.52738,0.00133693,0.00133693,0.00133693
22,612.524,0.12502,0.85088,1,0.78129,0.00132043,0.00132043,0.00132043
23,640.709,0.11306,0.81579,1,1.49085,0.00130393,0.00130393,0.00130393
24,668.248,0.10752,0.88596,1,0.53091,0.00128742,0.00128742,0.00128742
25,696.078,0.08392,0.87719,1,0.67274,0.00127092,0.00127092,0.00127092
26,725.197,0.06894,0.85088,1,0.82529,0.00125442,0.00125442,0.00125442
27,753.271,0.07043,0.83333,1,0.72777,0.00123791,0.00123791,0.00123791
28,780.382,0.06743,0.88596,1,0.56573,0.00122141,0.00122141,0.00122141
29,807.261,0.06517,0.84211,1,0.74935,0.00120491,0.00120491,0.00120491
