epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.22992,0.82325,0.68333,1,0.56488,0.00021671,0.00021671,0.00021671
2,7.40446,0.52697,0.76667,1,0.46831,0.000445634,0.000445634,0.000445634
3,10.5183,0.48318,0.83333,1,0.42232,0.000669937,0.000669937,0.000669937
4,13.4405,0.40617,0.86667,1,0.42331,0.00088962,0.00088962,0.00088962
5,16.2777,0.37356,0.81667,1,0.43268,0.00110468,0.00110468,0.00110468
6,19.2887,0.43589,0.81667,1,0.36845,0.00131512,0.00131512,0.00131512
7,22.0192,0.38267,0.78333,1,0.36739,0.00152094,0.00152094,0.00152094
8,24.7747,0.43182,0.86667,1,0.32618,0.00155148,0.00155148,0.00155148
9,27.5373,0.39233,0.86667,1,0.31885,0.00153497,0.00153497,0.00153497
10,30.3381,0.31889,0.91667,1,0.2667,0.00151847,0.00151847,0.00151847
11,33.1962,0.33644,0.88333,1,0.43383,0.00150197,0.00150197,0.00150197
12,35.9272,0.30746,0.81667,1,0.47613,0.00148546,0.00148546,0.00148546
13,38.5708,0.38969,0.78333,1,0.58376,0.00146896,0.00146896,0.00146896
14,41.3545,0.33927,0.83333,1,0.38132,0.00145246,0.00145246,0.00145246
15,44.0277,0.43235,0.9,1,0.28055,0.00143595,0.00143595,0.00143595
16,46.7868,0.39365,0.81667,1,0.44528,0.00141945,0.00141945,0.00141945
17,49.6403,0.27498,0.83333,1,0.42579,0.00140295,0.00140295,0.00140295
18,52.5497,0.33686,0.9,1,0.40069,0.00138644,0.00138644,0.00138644
19,55.376,0.26992,0.88333,1,0.30337,0.00136994,0.00136994,0.00136994
20,58.3843,0.34024,0.88333,1,0.33063,0.00135344,0.00135344,0.00135344
21,61.2039,0.36116,0.86667,1,0.33005,0.00133693,0.00133693,0.00133693
22,63.9895,0.27263,0.88333,1,0.32774,0.00132043,0.00132043,0.00132043
23,66.7259,0.35232,0.85,1,0.27241,0.00130393,0.00130393,0.00130393
24,69.5038,0.19393,0.88333,1,0.33039,0.00128742,0.00128742,0.00128742
25,72.2349,0.27227,0.86667,1,0.31572,0.00127092,0.00127092,0.00127092
26,74.9813,0.23012,0.83333,1,0.40231,0.00125442,0.00125442,0.00125442
27,77.8213,0.28514,0.83333,1,0.37346,0.00123791,0.00123791,0.00123791
28,80.6293,0.23681,0.85,1,0.41321,0.00122141,0.00122141,0.00122141
29,83.3633,0.2024,0.81667,1,0.45777,0.00120491,0.00120491,0.00120491
30,86.096,0.21794,0.78333,1,0.67486,0.0011884,0.0011884,0.0011884
31,88.8065,0.24193,0.76667,1,0.60757,0.0011719,0.0011719,0.0011719
32,91.5703,0.2598,0.8,1,0.43214,0.0011554,0.0011554,0.0011554
33,94.4094,0.20868,0.81667,1,0.38789,0.00113889,0.00113889,0.00113889
34,97.13,0.24958,0.86667,1,0.4641,0.00112239,0.00112239,0.00112239
35,99.883,0.22107,0.88333,1,0.5108,0.00110589,0.00110589,0.00110589
36,102.707,0.23498,0.83333,1,0.41616,0.00108938,0.00108938,0.00108938
37,105.469,0.24251,0.85,1,0.35175,0.00107288,0.00107288,0.00107288
38,108.292,0.23635,0.85,1,0.32029,0.00105638,0.00105638,0.00105638
39,111.215,0.16221,0.78333,1,0.43712,0.00103987,0.00103987,0.00103987
40,114.175,0.16892,0.81667,1,0.47014,0.00102337,0.00102337,0.00102337
41,117.041,0.21346,0.83333,1,0.48482,0.00100687,0.00100687,0.00100687
42,120.012,0.12913,0.85,1,0.33736,0.000990365,0.000990365,0.000990365
43,123.033,0.16632,0.88333,1,0.30362,0.000973861,0.000973861,0.000973861
44,125.965,0.15132,0.88333,1,0.22827,0.000957358,0.000957358,0.000957358
45,128.939,0.25902,0.91667,1,0.24506,0.000940855,0.000940855,0.000940855
46,132.045,0.21163,0.91667,1,0.35515,0.000924352,0.000924352,0.000924352
47,135.106,0.22715,0.86667,1,0.32895,0.000907848,0.000907848,0.000907848
48,138.287,0.17854,0.83333,1,0.33515,0.000891345,0.000891345,0.000891345
49,141.357,0.18077,0.85,1,0.34203,0.000874842,0.000874842,0.000874842
50,144.428,0.1979,0.86667,1,0.28312,0.000858338,0.000858338,0.000858338
51,147.614,0.11404,0.9,1,0.24989,0.000841835,0.000841835,0.000841835
52,150.835,0.1538,0.88333,1,0.27441,0.000825332,0.000825332,0.000825332
53,154.159,0.14329,0.88333,1,0.27524,0.000808828,0.000808828,0.000808828
54,157.284,0.16583,0.9,1,0.33438,0.000792325,0.000792325,0.000792325
55,160.338,0.12801,0.86667,1,0.33708,0.000775822,0.000775822,0.000775822
56,163.471,0.18921,0.86667,1,0.37763,0.000759318,0.000759318,0.000759318
57,166.827,0.12862,0.9,1,0.32857,0.000742815,0.000742815,0.000742815
58,169.852,0.19982,0.9,1,0.30345,0.000726312,0.000726312,0.000726312
59,173.07,0.13619,0.88333,1,0.29839,0.000709809,0.000709809,0.000709809
