epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.6203,0.65838,0.70175,1,0.59154,0.000544553,0.000544553,0.000544553
2,52.6264,0.52632,0.74561,1,0.50383,0.000991298,0.000991298,0.000991298
3,79.3952,0.48151,0.7193,1,0.51798,0.00132802,0.00132802,0.00132802
4,106.782,0.41263,0.80702,1,0.4291,0.0011719,0.0011719,0.0011719
5,133.872,0.35228,0.85088,1,0.36361,0.00100687,0.00100687,0.00100687
6,162.223,0.3072,0.87719,1,0.29867,0.000841835,0.000841835,0.000841835
7,189.915,0.29535,0.79825,1,0.45612,0.000676802,0.000676802,0.000676802
8,216.577,0.25101,0.85965,1,0.33477,0.000511769,0.000511769,0.000511769
9,243.622,0.21246,0.85965,1,0.3528,0.000346736,0.000346736,0.000346736
10,270.009,0.20511,0.87719,1,0.29727,0.000181703,0.000181703,0.000181703
